facility_id,facility_name,facility_type,primary_commodity,commodities_products,facility_equipment,country,LOM_in_Buckets,still_operating
COM00205.00,Carlin,Mine,Gold,Gold,"Open pit, Underground, grinding circuit, roasting circuit, carbon-in leach circuit",United States of America,38.0,1
COM00208.00,Carosue Dam,Mine,Gold,Gold,,Australia,11.0,1
COM00209.00,Carrapateena,Mine,Other mine,"Copper, Gold",Underground,Australia,2.0,1
COM00210.00,Casa de Pedra,Mine,Iron,Iron,Open pit,Brazil,108.0,1
COM00215.00,Caval Ridge,Mine,Coal,Metallurgical bituminous coal,Open pit,Australia,7.0,1
COM00217.00,CBG Sangaredi,Mine,Aluminium,Bauxite,,Guinea,48.0,1
COM00224.00,Century,Mine,Zinc,"Lead, Zinc, Silver",Open pit,Australia,17.0,0
COM00225.00,Cerrejon,Mine,Coal,Thermal bituminous coal,Open pit,Colombia,45.0,1
COM00226.00,Cerro Bayo,Mine,Gold,"Gold, Silver",,Chile,26.0,1
COM00229.00,Cerro Moro,Mine,Gold,"Gold, Silver, Copper","Open pit, Underground",Argentina,3.0,1
COM00230.00,Cerro Negro,Mine,Gold,"Gold, Silver","Open pit, underground",Argentina,7.0,1
COM00231.00,Cerro Negro Norte,Mine,Iron,Iron ore,,Chile,7.0,1
COM00233.00,Cerro Verde,Mine,Copper,"Copper, Molybdenum, Silver","Open pit, SX-EW",Peru,45.0,1
COM00244.00,Chapada,Mine,Copper,"Copper, Gold, Silver",Open pit,Brazil,15.0,1
COM00250.00,Chibuluma South,Mine,Copper,Copper,"Underground, Open pit",Zambia,15.0,1
COM00253.00,Chino,Mine,Copper,Copper,"Open pit, SX-EW",United States of America,111.0,1
COM00256.00,Chotia,Mine,Coal,Thermal coal,Open pit,India,15.0,1
COM00258.00,Cienega,Mine,Gold,"Silver, Gold, Lead, Zinc",Underground,Mexico,29.0,1
COM00261.00,Clermont,Mine,Coal,Thermal coal,,Australia,11.0,1
COM00262.00,Cliffs,Mine,Other mine,Nickel,Underground,Australia,13.0,1
COM00264.00,Climax,Mine,Other (poly)-metallic,Molybdenum,Open pit,United States of America,9.0,1
COM00266.00,Coal Valley,Mine,Coal,Bituminous coal,Surface,Canada,43.0,1
COM00269.00,Cobre Las Cruces,Mine,Copper,"Copper, Copper cathode","Open pit, Leaching tanks",Spain,12.0,1
COM00271.00,Cockatoo Island,Mine,Iron,"Iron, Iron ore fines",Open pit,Australia,28.0,1
COM00272.00,Codelco Norte,Mine,Copper,"Copper, Copper cathodes, Molybdenum, Gold, Silver",Open pit,Chile,24.0,1
COM00274.00,Coermotibo and Onverdacht,Mine,Aluminium,Bauxite,Open pit,Suriname,93.0,0
COM00277.00,Collingwood,Mine,Other (poly)-metallic,Tin,Underground,Australia,2.0,0
COM00280.00,Colstrip,Mine,Coal,Sub-bituminous coal,,United States of America,53.0,1
COM00281.00,Conga,Mine,Other mine,"Gold, Silver, Copper",,Peru,10.0,1
COM00283.00,Constancia,Mine,Copper,"Copper, Molybdenum, Gold, Silver",Open pit,Peru,7.0,1
COM00298.00,Coyote Creek,Mine,Coal,Lignite,Surface,United States of America,5.0,1
COM00300.00,Cracow,Mine,Gold,"Gold, Silver",Underground,Australia,17.0,1
COM00302.00,Cripple Creek & Victor,Mine,Gold,"Gold, Silver","Open pit, Heap leaching plant",United States of America,45.0,1
COM00305.00,Cuajone,Mine,Copper,"Copper, Molybdenum, Silver","Open pit, SX plant",Peru,45.0,1
COM00314.00,Darling Range Mines,Mine,Aluminium,Bauxite,Open pit,Australia,58.0,1
COM00319.00,Daunia,Mine,Coal,Metallurgical bituminous coal,Open pit,Australia,8.0,1
COM00321.00,Daxin,"Mine, Refinery",Other (poly)-metallic,"Manganese, Electrolytic manganese metal, Manganese briquette, Electrolytic manganese dioxide, Manganese sulfate","Open pit, Underground",China,63.0,1
COM00325.00,Deerni,Mine,Copper,"Copper, Copper cathode",Open Pit,China,14.0,1
COM00326.00,Deflector,Mine,Gold,"Gold, Copper",Underground,Australia,5.0,1
COM00327.00,DeGrussa,Mine,Copper,"Copper, Gold","Open pit, Underground",Australia,9.0,1
COM00329.00,Denisovskiy,Mine,Coal,Coking coal,Open pit,Russian Federation,5.0,1
COM00331.00,Dian Dian,Mine,Aluminium,Bauxite,,Guinea,4.0,1
COM00332.00,Diavik,Mine,Other mine,Diamonds,,Canada,18.0,1
COM00333.00,Didipio,Mine,Gold,"Gold, Copper, Silver","Open Pit, Underground",Philippines,8.0,1
COM00334.00,Dilworth,Mine,Coal,Coal,Underground,United States of America,18.0,0
COM00338.00,Dolores,Mine,Gold,"Silver, Gold","Open pit, Underground, cyanide heap leaching plant, Merrill Crowe plant",Mexico,13.0,1
COM00341.00,Dotiki Complex,Mine,Coal,Coal,Underground,United States of America,53.0,0
COM00344.00,Driefontein,Mine,Gold,Gold,"Underground, Surface",South Africa,69.0,1
COM00352.00,Dugald River,Mine,Zinc,"Zinc, Lead, Silver",,Australia,3.0,1
COM00354.00,Duketon,Mine,Gold,Gold,,Australia,11.0,1
COM00363.00,Eagle,Mine,Nickel,"Nickel, Copper",Underground,United States of America,7.0,1
COM00364.00,Eagle Pass,Mine,Coal,"Bituminous coal, Sub-bituminous coal",Surface,United States of America,6.0,1
COM00368.00,Edikan,Mine,Gold,Gold,Open pit,Ghana,9.0,1
COM00372.00,El Abra,Mine,Copper,Copper,"Open pit, SX-EW",Chile,25.0,1
COM00382.00,El Teniente,"Mine, Smelter",Copper,"Copper, Copper anodes, Molybdenum, Gold, Silver","Open pit, Underground",Chile,117.0,1
COM00383.00,El Volcan,Mine,Iron,Iron,Open pit,Mexico,10.0,0
COM00386.00,Eleonore,Mine,Gold,Gold,Underground,Canada,6.0,1
