id,facility_id,year,material,commodity,mineral_value_tonnes,commodity_value_tonnes,grade_ppm,source_id,comment
58,COM00113.00,2015,F.coc,,26671680.0,,,filled,
58,COM00113.00,2016,F.coc,,25855200.0,,,filled,
58,COM00113.00,2017,F.coc,,24948000.0,,,filled,
58,COM00113.00,2018,F.coc,,24040800.0,,,filled,
58,COM00113.00,2019,F.coc,,23133600.0,,,,
59,COM00114.00,2005,O.Fe,Me.Fe,91347000.0,,,filled,
59,COM00114.00,2006,O.Fe,Me.Fe,84913000.0,,,filled,
59,COM00114.00,2007,O.Fe,Me.Fe,79377000.0,,,filled,
59,COM00114.00,2008,O.Fe,Me.Fe,72702000.0,,,filled,
59,COM00114.00,2009,O.Fe,Me.Fe,68209000.0,,,filled,
59,COM00114.00,2010,O.Fe,Me.Fe,65551000.0,,,filled,
59,COM00114.00,2011,O.Fe,Me.Fe,65030000.0,,,filled,
59,COM00114.00,2012,O.Fe,Me.Fe,64070000.0,,,filled,
59,COM00114.00,2013,O.Fe,Me.Fe,62681000.0,,,filled,
59,COM00114.00,2014,O.Fe,Me.Fe,60668000.0,,,filled,
59,COM00114.00,2015,O.Fe,Me.Fe,58445000.0,,,filled,
59,COM00114.00,2016,O.Fe,Me.Fe,55018000.0,,,filled,
59,COM00114.00,2017,O.Fe,Me.Fe,51908000.0,,,filled,
59,COM00114.00,2018,O.Fe,Me.Fe,48754000.0,,,filled,
59,COM00114.00,2019,O.Fe,Me.Fe,44870000.0,,,,
60,COM00118.00,2010,F.obc,,11031553.2,,,filled,
60,COM00118.00,2011,F.obc,,10033633.2,,,filled,
60,COM00118.00,2012,F.obc,,9126433.2,,,filled,
60,COM00118.00,2013,F.obc,,8189295.2,,,filled,
60,COM00118.00,2014,F.obc,,7286631.2,,,filled,
60,COM00118.00,2015,F.obc,,6921029.2,,,filled,
60,COM00118.00,2016,F.obc,,6336792.2,,,filled,
60,COM00118.00,2017,F.obc,,6033787.2,,,filled,
60,COM00118.00,2018,F.obc,,5670907.2,,,,
61,COM00122.00,2012,O.Mn,Me.Mn,16256000.0,,,filled,
61,COM00122.00,2013,O.Mn,Me.Mn,15809000.0,,,filled,
61,COM00122.00,2014,O.Mn,Me.Mn,15295000.0,,,filled,
61,COM00122.00,2015,O.Mn,Me.Mn,14704000.0,,,filled,
61,COM00122.00,2016,O.Mn,Me.Mn,14388000.0,,,filled,
61,COM00122.00,2017,O.Mn,Me.Mn,14388000.0,,,filled,
61,COM00122.00,2018,O.Mn,Me.Mn,13406000.0,,,filled,
61,COM00122.00,2019,O.Mn,Me.Mn,12130000.0,,,,
62,COM00128.00,2001,F.lig,,43121938.6,,,filled,
62,COM00128.00,2002,F.lig,,40321412.6,,,filled,
62,COM00128.00,2003,F.lig,,37594369.6,,,filled,
62,COM00128.00,2004,F.lig,,35039694.6,,,filled,
62,COM00128.00,2005,F.lig,,32270012.6,,,filled,
62,COM00128.00,2006,F.lig,,29660905.6,,,filled,
